building	shop	prper	names	rents	locs2	schools	shopadd	locs1	lines	sales	years	houses	comper	url	build	prices	counts	devloper	types	discribe
4栋	朝阳门店	暂无信息	东单北大街	2	建国门内		"朝阳区门内南小街20号楼首层20,21"	东城	1号线东单站	0	板楼?1988年	17户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041156060/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	安定门地铁店	暂无信息	宝景大厦	0	安定门		东城安外西河沿14号楼一层底商（七色光摄影内西侧房屋一间）	东城	2号线安定门站	0	塔楼?2000年	84户	北京宝景物业管理有限公司	http://bj.lianjia.com/xiaoqu/1111027375879/	塔楼	暂无均价	0	暂无信息		容积率/2.65??绿化率/30%
1栋	新中西街店	暂无信息	新中大厦	0	朝阳门外		东城区东营房八条	东城	2号线东四十条站	0	未知类型?未知年	204户	暂无信息	http://bj.lianjia.com/xiaoqu/1111046412668/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
2栋	朝阳门店	暂无信息	东单北极阁3条	0	建国门内		"朝阳区门内南小街20号楼首层20,21"	东城		0	未知类型?未知年	5户	暂无信息	http://bj.lianjia.com/xiaoqu/1111043211434/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	金宝街一店	暂无信息	贡院二条	0	建国门内	东总布小学	朝阳门南小街20号楼1层27	东城	1号线建国门站	0	板楼?未知年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/1111020565754227/	板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
40栋	朝阳门店	暂无信息	北极阁三条	2	建国门内	东总布小学	"朝阳区门内南小街20号楼首层20,21"	东城	1号线王府井站	0	塔楼板楼?1988年	201户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027375884/	塔楼/板楼	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	金宝街一店	暂无信息	胜芳胡同	0	建国门内		朝阳门南小街20号楼1层27	东城	1号线建国门站	0	未知类型?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027379205/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
45栋	朝阳门店	暂无信息	南牌坊胡同	0	建国门内		"朝阳区门内南小街20号楼首层20,21"	东城	1号线建国门站	0	未知类型?未知年	180户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378573/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
4栋	国瑞城一店	暂无信息	后沟胡同	0	建国门外	东交民巷小学	北京市东城区西花市大街57号东数第二间	东城	5号线崇文门站	0	未知类型?未知年	16户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027374986/	未知类型	暂无均价	0	暂无信息		容积率/2.27??绿化率/10%
24栋	金宝街一店	暂无信息	东石槽胡同	0	建国门内	史家小学	朝阳门南小街20号楼1层27	东城	1号线东单站	0	平房?未知年	87户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027373824/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	新世界店	暂无信息	崇文门内大街	0	建国门外	东交民巷小学	北京市东城区新怡家园4号楼03单元底商	东城	5号线崇文门站	0	未知类型?未知年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/1111044908551/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
7栋	三丰里店	暂无信息	金宝街	1	朝阳门内	东总布小学	朝阳区三丰里15号楼2单元102	东城	5号线灯市口站	0	未知类型?未知年	38户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027376994/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
46栋	海运仓店	暂无信息	南板桥胡同	0	东四	东四九条小学/史家七条小学	东城区东直门南小街20号楼-3	东城	5号线北新桥站	0	板楼?1985年	236户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027378466/	板楼	暂无均价	0	暂无信息		暂无容积率信息??绿化率/30%
3栋	王府井店	暂无信息	晓教胡同	0	东四		东城区王府井大街99号一层005号	东城	5号线东四站	0	未知类型?未知年	7户	暂无信息	http://bj.lianjia.com/xiaoqu/1111046622611/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	暂无门店信息	暂无信息	大取灯胡同	0	东四			东城	6号线南锣鼓巷站	0	未知类型?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111046905887/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
59栋	史家小学店	暂无信息	铁营北巷	0	东四	史家七条小学	朝阳区门北小街8号楼一层8-5号	东城	5号线张自忠路站	0	未知类型?未知年	469户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027380082/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	中海紫御西区店	暂无信息	永外车站路6号院	0	北京南站		东城区永定门西滨河路8号院1至2层5-3	东城	4号线北京南站站	0	未知类型?未知年	72户	暂无信息	http://bj.lianjia.com/xiaoqu/1111099601676/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
8栋	和平新城新租赁店	暂无信息	王佐胡同	0	地安门	分司厅小学		东城	2号线鼓楼大街站	0	未知类型?未知年	29户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041179265/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
51栋	丁丁虚拟5店	暂无信息	草厂胡同	1	地安门	分司厅小学	无	东城	2号线鼓楼大街站	0	未知类型?未知年	204户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027376335/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
25栋	丁丁虚拟5店	暂无信息	蓑衣胡同	0	地安门	黑芝麻胡同小学	无	东城	6号线南锣鼓巷站	0	平房?未知年	97户	暂无信息	http://bj.lianjia.com/xiaoqu/1111027379640/	平房	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
1栋	交道口东大街店	暂无信息	文书巷	0	交道口	灯市口小学	东城区交道口东大街4号楼	东城		0	未知类型?未知年	4户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041153202/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
40栋	交东小区店	暂无信息	北剪子巷	0	交道口	府学胡同小学	东城区交道口大街8号楼1层3号	东城	5号线北新桥站	0	平房?未知年	161户	无物业管理服务	http://bj.lianjia.com/xiaoqu/1111027375959/	平房	暂无均价	0	无开发商		暂无容积率信息??暂无绿化率信息
1栋	东中街店	暂无信息	红杉公寓	0	东直门		东城区东中街22号楼一层北端第一间	东城	2号线东直门站	0	塔板结合?1999年	129户	北京银达物业管理有限责任公司	http://bj.lianjia.com/xiaoqu/1111027375269/	塔板结合	暂无均价	0	暂无信息		暂无容积率信息??绿化率/30%
1栋	远洋德邑店	暂无信息	广渠门内大街乙7号院	0	广渠门		东城区广渠门大街忠实里南街甲6号楼底商	东城	7号线广渠门外站	0	未知类型?未知年	1户	暂无信息	http://bj.lianjia.com/xiaoqu/1111041148837/	未知类型	暂无均价	0	暂无信息		暂无容积率信息??暂无绿化率信息
