building,shop,prper,names,rents,locs2,schools,shopadd,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,types,discribe
1栋,清芷园旗舰店,0.52元/平米/月,里仁街2号院,0,右安门内,宣师一附小,西城区清芷园小区10号楼B座B-A,西城,4号线陶然亭站,0,板楼 1980年,72户,北京育欣兴物业管理中心,http://bj.lianjia.com/xiaoqu/1111027378048/,板楼,暂无均价,0,无开发商,,暂无容积率信息  暂无绿化率信息
18栋,半步桥小学店,暂无信息,宏建北里平房,0,右安门内,宣师一附小,西城区白纸坊东街27号,西城,4号线陶然亭站,0,未知类型 未知年,72户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027375058/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,德外店,暂无信息,中新大厦,0,马甸,,西城区德外新风街3号院门脸房西向东第二间,西城,,0,板楼 2003年,60户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027382699/,板楼,暂无均价,0,暂无信息,,暂无容积率信息  绿化率/35%
1栋,京畿道店,暂无信息,复兴门内大街45号,1,金融街,实验二小,西城区京畿道小区5号楼,西城,1号线西单站,0,未知类型 未知年,4户,暂无信息,http://bj.lianjia.com/xiaoqu/1111046221200/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,南礼士路店,0.8元/平米/月,真武庙三条3号,0,木樨地,,西城区西便门外大街西里四楼1门3号4号,西城,1号线南礼士路站,0,塔板结合 1992年,86户,单位自管物业,http://bj.lianjia.com/xiaoqu/1111027382688/,塔板结合,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
7栋,新文化街王牌店,暂无信息,众益胡同,0,金融街,实验二小涭水河分校,西城区新文化街161号（北1、东2）,西城,1号线西单站,0,未知类型 未知年,28户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027382749/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
3栋,真武庙店,0.7元/平米/月,真武家园,6,木樨地,育民小学/实验二小白云路分校,西城区真武庙路二条3号楼5底商,西城,1号线南礼士路站,0,塔板结合 2008年,1470户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027382681/,塔板结合,暂无均价,0,暂无信息,,容积率/1.23  绿化率/10%
1栋,丁丁虚拟8店,暂无信息,羊肉胡同118号院,0,金融街,西四北四小学,无,西城,4号线西四站,0,未知类型 1990年,207户,暂无信息,http://bj.lianjia.com/xiaoqu/1111046113789/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,新文化街王牌临时店,暂无信息,月台胡同125号,0,金融街,,宣武门西大街103号楼-11,西城,,0,未知类型 未知年,108户,暂无信息,http://bj.lianjia.com/xiaoqu/1111048035303/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
4栋,新文化街王牌店,暂无信息,闹市口中街,0,金融街,,西城区新文化街161号（北1、东2）,西城,1号线复兴门站,0,未知类型 未知年,16户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027378610/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,真武庙店,暂无信息,丽华中心,0,金融街,,西城区真武庙路二条3号楼5底商,西城,1号线复兴门站,0,塔楼 未知年,375户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027377900/,塔楼,暂无均价,0,暂无信息,,容积率/9.18  暂无绿化率信息
1栋,新文化街王牌店,暂无信息,笔管胡同10号,0,金融街,奋斗小学,西城区新文化街161号（北1、东2）,西城,,0,未知类型 未知年,4户,暂无信息,http://bj.lianjia.com/xiaoqu/1111047595449/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
33栋,丁丁虚拟6店,暂无信息,西四头条,0,西四,,无,西城,4号线平安里站,0,未知类型 未知年,322户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027381200/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
1栋,西什库店,暂无信息,西黄城根北街甲9号院,1,西四,,西城区西什库大街26号院4楼2号一层底墒,西城,4号线西四站,0,未知类型 1975年,72户,暂无信息,http://bj.lianjia.com/xiaoqu/1111046180781/,未知类型,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
7栋,丁丁虚拟6店,1.2元/平米/月,西什库大街37号院,4,西四,西什库小学,无,西城,4号线西四站,0,板楼平房 1985年,202户,无物业管理服务,http://bj.lianjia.com/xiaoqu/1111027381170/,板楼/平房,暂无均价,0,暂无信息,,容积率/12.15  绿化率/25%
1栋,金融街旗舰店,暂无信息,通泰大厦,0,金融街,,西城区太平桥大街98号院98-14,西城,1号线复兴门站,0,塔板结合 1997年,672户,暂无信息,http://bj.lianjia.com/xiaoqu/1111027380020/,塔板结合,暂无均价,0,暂无信息,,暂无容积率信息  暂无绿化率信息
