building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
12栋,0.5元/平米/月,水东里,8,二号桥街,,河东,津滨9号线二号桥站,0,1996年,612户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051085765/,板楼,13044,7,无开发商,容积率/1.5  绿化率/10%
20栋,1元/平米/月,长征楼（河东）,25,唐家口,,河东,2号线顺驰桥站,6,1999年,1150户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051374657/,板楼,25082,8,无开发商,暂无容积率信息  暂无绿化率信息
12栋,0.5元/平米/月,近营里,10,常州道,,河东,津滨9号线一号桥站,0,1997年,538户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045431696/,板楼,12817,7,河东建设开发公司,容积率/1.4  绿化率/10%
1栋,0.75元/平米/月,万隆中心大厦,6,大王庄,,河东,津滨9号线大王庄站,0,1999年,297户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045521243/,板楼,11701,7,无开发商,容积率/4.9  绿化率/10%
15栋,1.9元/平米/月,万东花园,30,向阳楼,二中心小学,河东,2号线翠阜新村站,,2009年,898户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045611799/,板楼,24513,8,无开发商,容积率/1.6  绿化率/10%
21栋,1.2元/平米/月,长城公寓,5,大王庄,一中心小学,河东,津滨9号线十一经路站,1,2003年,1012户,暂无信息,http://tj.lianjia.com/xiaoqu/1211045507507/,板楼,22824,8,暂无信息,容积率/1.5  绿化率/40%
8栋,0.4至0.45元/平米/月,聚安西园,10,春华街,,河东,2号线天津站站,0,2002年,686户,天津市嘉越物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211045480963/,板楼,23353,8,天津市市政建设开发有限责任公司,容积率/1.2  绿化率/20%
15栋,1元/平米/月,星河花园,6,向阳楼,,河东,2号线翠阜新村站,0,2004年,806户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045625498/,板楼,22151,8,无开发商,容积率/1.6  绿化率/10%
9栋,暂无信息,电传所路1号,2,二号桥街,,河东,津滨9号线二号桥站,0,未知年,519户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051204853/,未知类型,12461,1,天津建委,暂无容积率信息  暂无绿化率信息
3栋,0.5元/平米/月,福如里,8,二号桥街,,河东,津滨9号线二号桥站,0,1991年,180户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045554966/,板楼,12397,1,无开发商,容积率/1.5  绿化率/10%
