building,prper,names,rents,locs2,schools,locs1,lines,sales,years,houses,comper,url,build,prices,counts,devloper,discribe
10栋,1.6元/平米/月,水郡花园,12,长虹街,南开区艺术小学,南开,号线长虹公园站,,2006年,993户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045362239/,板楼,23927,20,无开发商,容积率/1.5  绿化率/10%
2栋,1.2元/平米/月,景明大厦,0,咸水沽,,津南,,,2009年,930户,暂无信息,http://tj.lianjia.com/xiaoqu/126874898902792/,板楼,5633,5,天津市景明房地产开发有限责任公司,容积率/2.76  绿化率/35%
18栋,1.8元/平米/月,海尔格林小镇,0,八里台,,津南,,,2015年,600户,山东凯瑞物业服务有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211100196735/,板楼,11017,2,天津海尔房地产开发有限公司,容积率/1.5  绿化率/60%
6栋,暂无信息,光明北里,0,咸水沽,,津南,,,未知年,402户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811055480119/,未知类型,6073,0,天津建委,暂无容积率信息  暂无绿化率信息
3栋,暂无信息,平江道,0,友谊路,,河西,号线土城站,,未知年,123户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/2811051923967/,未知类型,暂无均价,0,天津建委,暂无容积率信息  暂无绿化率信息
32栋,3.2元/平米/月,京基嶺域,0,八里台,,津南,,,2012年,484户,深圳市京基物业管理有限公司,http://tj.lianjia.com/xiaoqu/1211100224453/,未知类型,12103,0,天津京基房地产开发有限公司,容积率/0.71  绿化率/40%
73栋,2.18至2.29元/平米/月,首创城,23,辛庄,,津南,,,2015年,4563户,北京金网络物业管理有限公司天津分公司,http://tj.lianjia.com/xiaoqu/1211047786024/,板楼,12144,12,天津兴泰吉丰置业有限公司,容积率/1.6  绿化率/45%
2栋,0.98元/平米/月,新安楼,4,下瓦房,,河西,滨9号线直沽站,,1989年,90户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045819633/,板楼,21638,0,河西区建设开发总公司,容积率/1.6  绿化率/24%
1栋,暂无信息,积厚里,3,下瓦房,闽侯路小学,河西,号线下瓦房站,,未知年,72户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045516014/,未知类型,24884,0,天津建委,容积率/1.6  绿化率/10%
1栋,0.75元/平米/月,美印楼,2,友谊路,,河西,,,1997年,168户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045845156/,板楼,20543,2,无开发商,容积率/1.5  绿化率/10%
2栋,0.75元/平米/月,浦江大厦,4,大营门,闽侯路小学,河西,号线小白楼站,,2000年,154户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211046150461/,板楼,24921,3,上海长峰房地产开发公司,容积率/1.5  绿化率/10%
30栋,暂无信息,副食大楼,3,陈塘庄,,河西,号线复兴门站,,未知年,2724户,街道办事处（居委会）代管物业,http://tj.lianjia.com/xiaoqu/1211045743520/,板楼,16014,0,天津建委,容积率/1.6  绿化率/10%
